Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W914PCPI%,ALBANIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35.72,226,85,22.57,7.79,12.73,32.1,20.9,0.4,-0.2,2.5,3
"World Economic Outlook, May 2001",Annual percent change,W612PCPI%,ALGERIA,Inflation,6.6,2.63,3.66,6.17,4.73,8.96,8.88,12.1,17.17,11.45,9.67,14.61,6.59,7.84,6.31,10.43,14.01,5.86,5.94,9.17,9.27,25.9,31.7,20.5,29,29.8,18.7,5.7,4.95,2.6,0.3,4,4.5
"World Economic Outlook, May 2001",Annual percent change,W614PCPI%,ANGOLA,Inflation,7.97,5.78,15.8,15.67,27.42,29,80.7,69.01,48.46,101.3,46.71,1.39,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,2.76,83.6,299.1,1379.48,949.77,2672.23,4146.01,221.49,107.43,248.25,325.03,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W311PCPI%,ANTIGUA AND BARBUDA,Inflation,8.87,8.63,12.67,21.72,12.97,8.61,15.62,13.75,6.15,16.33,19,11.47,4.17,2.35,3.84,1,0.5,3.6,6.8,4.36,6.59,4.52,3,3.1,6.49,2.74,3,0.32,3.29,1.62,1.96,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W213PCPI%,ARGENTINA,Inflation,13.55,34.78,58.41,61.21,23.47,182.9,444,176,175.5,159.5,100.8,104.5,162.57,343.8,626.73,672.16,90.1,131.3,343,3080.5,2314.7,171.7,24.9,-72.54,4.18,3.38,0.16,0.53,0.92,-1.17,-0.7,0.57,0.6
"World Economic Outlook, May 2001",Annual percent change,W911PCPI%,ARMENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,100.3,824.5,3731.81,5273.4,176.7,18.7,14,8.7,0.7,-0.8,4.5,2.98
"World Economic Outlook, May 2001",Annual percent change,W193PCPI%,AUSTRALIA,Inflation,3.89,5.97,6.04,9.24,15.3,15.18,13.35,12.32,7.95,6.36,8.97,9.47,10.45,8.6,5.87,6.96,9.71,8.5,4.59,7.55,7.28,3.22,0.99,1.81,1.89,4.64,2.61,0.25,0.85,1.47,4.48,3.73,2.38
"World Economic Outlook, May 2001",Annual percent change,W122PCPI%,AUSTRIA,Inflation,4.36,4.7,6.3,7.6,9.5,8.4,7.3,5.5,3.6,3.71,6.33,6.81,5.44,3.34,5.66,3.19,1.74,1.41,1.88,2.25,2.76,3.15,3.53,3.18,2.65,1.63,1.76,1.16,0.82,0.51,1.97,1.7,1.6
"World Economic Outlook, May 2001",Annual percent change,W912PCPI%,AZERBAIJAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.8,105.6,912.56,1129.7,1664,411.76,19.79,3.67,-0.77,-8.53,1.8,2.5,2.5
"World Economic Outlook, May 2001",Annual percent change,W313PCPI%,"BAHAMAS, THE",Inflation,6.15,4.61,6.77,5.48,13.3,10.21,4.23,3.09,6.12,9.01,12.23,11.05,6.1,4,3.97,4.62,5.41,5.99,4.05,5.41,4.56,7.1,5.71,2.75,1.3,2.1,1.4,0.5,1.3,1.5,1.4,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W419PCPI%,BAHRAIN,Inflation,1.65,5.84,5.06,14.29,24.4,16.16,22.64,17.7,15,2.2,3.8,11.4,8.7,3.2,0,-2.4,-2.5,-1.7,0.2,1.2,-0.31,0.94,-0.31,2.59,0.4,3.1,-0.1,1.54,-0.32,-1.64,-0.36,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W513PCPI%,BANGLADESH,Inflation,3.54,-0.59,45.29,45.01,54.65,16.62,-2.43,9.34,17.37,13.59,15.31,14.52,12.86,9.63,10.4,10.48,10.08,10.91,9.64,8.7,6.02,6.02,6.32,3.48,3.12,9.98,8.82,4.83,8.01,6.27,4.67,5.76,6.26
"World Economic Outlook, May 2001",Annual percent change,W316PCPI%,BARBADOS,Inflation,7.79,12.43,6.98,16.86,38.92,20.33,4.96,8.29,9.5,13.57,18.5,14.59,10.29,5.28,4.65,4.86,0.2,3.57,4.72,6.33,3.04,6.3,6,1.18,-0.1,1.87,2.4,7.69,-1.26,1.56,2.57,n.a.,n.a.
