Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004
Annual percent change,W914PCPI%,ALBANIA,Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,35.7,226.0,85.0,22.6,7.8,12.7,33.2,20.6,0.4,0.0,3.1,5.3,3.0,3.0
Annual percent change,W612PCPI%,ALGERIA,Inflation,6.6,2.6,3.7,6.2,4.7,9.0,8.9,12.1,17.2,11.5,9.7,14.6,6.6,7.8,6.3,10.4,14.0,5.9,5.9,9.2,9.3,25.9,31.7,20.5,29.0,29.8,18.7,5.7,5.0,2.6,0.3,4.2,1.4,4.2,4.0
Annual percent change,W614PCPI%,ANGOLA,Inflation,8.0,5.8,15.8,15.7,27.4,29.0,80.7,69.0,48.5,101.3,46.7,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.8,83.6,299.1,1379.5,949.8,2672.2,4146.0,221.5,107.4,248.2,325.0,152.6,108.9,75.6,19.3
Annual percent change,W311PCPI%,ANTIGUA AND BARBUDA,Inflation,8.9,8.6,12.7,21.7,13.0,8.6,15.6,13.8,6.1,16.3,19.0,11.5,4.2,2.3,3.8,1.0,0.5,3.6,6.8,4.4,6.6,4.5,3.0,3.1,6.5,2.7,3.0,0.3,3.3,1.1,0.7,1.0,1.0,1.0,1.0
Annual percent change,W213PCPI%,ARGENTINA,Inflation,13.5,34.8,58.4,61.2,23.5,182.9,444.0,176.0,175.5,159.5,100.8,104.5,164.8,343.8,626.7,672.2,90.1,131.3,343.0,3079.5,2314.0,171.7,24.9,10.6,4.2,3.4,0.2,0.5,0.9,-1.2,-0.9,-1.1,25.9,22.3,13.0
Annual percent change,W911PCPI%,ARMENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,100.3,824.5,3731.8,5273.4,176.7,18.7,14.0,8.6,0.6,-0.8,3.1,1.1,2.2,1.8
Annual percent change,W193PCPI%,AUSTRALIA,Inflation,3.9,6.0,6.0,9.2,15.3,15.2,13.4,12.3,8.0,6.4,9.0,9.5,10.4,8.6,5.9,7.0,9.7,8.5,4.6,7.5,7.3,3.2,1.0,1.8,1.9,4.6,2.6,0.3,0.9,1.5,4.5,4.4,3.0,2.7,2.5
Annual percent change,W122PCPI%,AUSTRIA,Inflation,4.4,4.7,6.3,7.6,9.5,8.4,7.3,5.5,3.6,3.7,6.3,6.8,5.4,3.3,5.7,3.2,1.7,1.4,1.9,2.2,2.8,3.1,3.5,3.2,2.7,1.6,1.8,1.2,0.8,0.5,2.0,2.3,1.8,1.5,1.4
Annual percent change,W912PCPI%,AZERBAIJAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.8,105.6,912.6,1129.7,1664.0,411.8,19.8,3.7,-0.8,-8.5,1.8,1.5,2.8,2.7,2.5
Annual percent change,W313PCPI%,"BAHAMAS, THE",Inflation,6.2,4.6,6.8,5.5,13.3,10.2,4.2,3.1,6.1,9.0,12.2,11.0,6.1,4.0,4.0,4.6,5.4,6.0,4.1,5.4,4.6,7.1,5.7,2.7,1.3,2.1,1.4,0.5,1.3,1.3,1.6,2.0,1.9,1.2,1.5
