Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W914NGDP_R%,ALBANIA,"Gross domestic product, constant prices",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.68,5,2.9,1.1,-1.3,1.8,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-7,8,7.3,7.8,7.3,7
"World Economic Outlook, May 2001",Annual percent change,W612NGDP_R%,ALGERIA,"Gross domestic product, constant prices",7.33,-1.93,10.25,7.63,1.22,10.28,9.03,7.55,9.2,-5.4,-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.1,-0.9,3.85,3.8,1.1,5.1,3.2,2.97,3.13,3.12
"World Economic Outlook, May 2001",Annual percent change,W614NGDP_R%,ANGOLA,"Gross domestic product, constant prices",9.63,6,0.15,8.14,3.13,-5.04,-5.25,0.76,-5.3,0.3,2.41,-4.4,0,4.2,6,3.5,2.9,4.08,6.13,0.04,0.06,0.32,-5.84,-23.98,1.34,7.11,7.9,6.18,3.14,3.38,2.12,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W311NGDP_R%,ANTIGUA AND BARBUDA,"Gross domestic product, constant prices",4.39,7.34,7.48,8.3,6.77,2.9,4.86,4.71,9.42,7.71,2.63,2.67,-0.1,8.8,8.5,15.28,8.9,8.98,5.67,6.83,2.28,2.73,0.84,5.08,6.18,-4.96,6.08,5.55,3.9,3.2,2.46,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W213NGDP_R%,ARGENTINA,"Gross domestic product, constant prices",0,6.67,6.25,5.88,5.56,-1.3,-3.3,4.9,-3.4,7.1,0.7,-5.74,-3.15,3.73,2,-6.95,7.15,2.53,-1.96,-7.01,-1.34,10.5,10.3,6.25,5.84,-2.84,5.53,8.11,3.85,-3.4,-0.49,2,3.79
"World Economic Outlook, May 2001",Annual percent change,W911NGDP_R%,ARMENIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12.36,-52.6,-14.05,5.4,6.9,5.87,3.32,7.34,3.3,6,6.51,6
"World Economic Outlook, May 2001",Annual percent change,W193NGDP_R%,AUSTRALIA,"Gross domestic product, constant prices",5.19,5.02,2.41,6.87,1.97,2.3,3.89,1.62,2.9,5.27,2,3.86,-0.12,0.01,6.9,5.06,2.08,4.94,4.72,4.46,1.42,-0.92,2.6,3.79,4.99,4.37,3.74,3.82,5.58,4.66,3.71,1.95,3.48
"World Economic Outlook, May 2001",Annual percent change,W122NGDP_R%,AUSTRIA,"Gross domestic product, constant prices",7.17,5.11,6.21,4.89,3.94,-0.36,4.58,4.68,-0.36,5.45,2.31,-0.1,1.91,2.8,0.33,2.24,2.34,1.68,3.17,4.23,4.55,3.42,1.34,0.51,2.38,1.7,1.81,1.33,3.25,2.82,3.2,2.2,2.6
"World Economic Outlook, May 2001",Annual percent change,W912NGDP_R%,AZERBAIJAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.7,-22.73,-23.1,-19.67,-11.8,1.3,5.8,10,7.4,10.27,8.51,8.03
"World Economic Outlook, May 2001",Annual percent change,W313NGDP_R%,"BAHAMAS, THE","Gross domestic product, constant prices",5.88,-1.12,0.71,8.46,7.02,-14.58,4.84,2.99,9.88,11.3,7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.26,2.3,1.25,-2.7,-2,1.7,0.9,0.3,4.2,3.3,3,6,3.5,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W419NGDP_R%,BAHRAIN,"Gross domestic product, constant prices",1.93,1.52,11.08,13.99,8.54,-8.9,24.21,14.3,7.73,-0.36,7.49,2.78,6.41,6.99,4.19,-0.93,0.48,-1.22,5.95,4.41,7.27,1.73,6.7,12.87,-0.25,3.93,4.1,3.1,4.8,3.95,3.89,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W513NGDP_R%,BANGLADESH,"Gross domestic product, constant prices",5.63,-5.91,-14.31,4.08,12.1,2.39,2.87,4.29,6.7,3.06,2.41,2.63,3.54,5.55,4.51,4.07,4.83,4.26,3.48,5,4.92,4.2,4.8,4.32,4.51,4.77,5.01,5.3,5.05,5.18,4.97,4.5,4.5
"World Economic Outlook, May 2001",Annual percent change,W316NGDP_R%,BARBADOS,"Gross domestic product, constant prices",5.88,6.4,4.67,3.93,5.66,15.52,7.82,3.65,4.87,7.9,4.37,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,4,3.08,1.7,6.37,4.12,1.26,3.23,n.a.,n.a.
