country,fdGdpCurrent,ldGdpCurrent,fdCpiCurrent,ldCpiCurrent
"Argentina",1998m2,2019m12,1998m2,2013m12
"Austria",2005m1,2019m12,2005m1,2019m12
"Belgium",2005m1,2019m12,2005m1,2019m12
"Brazil",1998m2,2019m12,1998m2,2019m12
"Bulgaria",2007m5,2019m12,2007m5,2019m12
"Canada",1998m1,2019m12,1998m1,2019m12
"Chile",1998m2,2019m12,1998m2,2019m12
"China",1998m1,2019m12,1998m1,2019m12
"Colombia",1998m2,2019m12,1998m2,2019m12
"Croatia",2007m5,2019m12,2007m5,2019m12
"Czech Republic",2002m1,2019m12,2002m1,2019m12
"Denmark",2005m1,2019m12,2005m1,2019m12
"Estonia",2007m5,2019m12,2007m5,2019m12
"Finland",2005m1,2019m12,2005m1,2019m12
"France",1998m1,2019m12,1998m1,2019m12
"Germany",1998m1,2019m12,1998m1,2019m12
"Greece",2005m1,2019m12,2005m1,2019m12
"Hungary",2002m1,2019m12,2002m1,2019m12
"India",1998m1,2019m12,1998m1,2019m12
"Indonesia",1998m1,2019m12,1999m1,2019m12
"Ireland",2005m1,2019m12,2005m1,2019m12
"Israel",2005m1,2019m12,2005m1,2019m12
"Italy",1998m1,2019m12,1998m1,2019m12
"Japan",1998m1,2019m12,1998m1,2019m12
"Latvia",2007m5,2019m12,2007m5,2019m12
"Lithuania",2007m5,2019m12,2007m5,2019m12
"Malaysia",1998m1,2019m12,1998m1,2019m12
"Mexico",1998m2,2019m12,1998m2,2019m12
"Netherlands",1998m1,2019m12,1998m1,2019m12
"New Zealand",1998m1,2019m12,1998m1,2019m12
"Nigeria",2005m1,2019m12,2005m1,2019m12
"Norway",1998m6,2019m12,1998m6,2019m12
"Peru",1998m2,2019m12,1998m2,2019m12
"Philippines",1998m1,2019m12,1998m1,2019m12
"Poland",2002m1,2019m12,2002m1,2019m12
"Portugal",2005m1,2019m12,2005m1,2019m12
"Romania",2002m1,2019m12,2002m9,2019m12
"Russia",2002m1,2019m12,2002m1,2019m12
"Saudi Arabia",2005m1,2019m12,2005m1,2019m12
"Slovakia",2002m1,2019m12,2002m1,2019m12
"Slovenia",2007m5,2019m12,2007m5,2019m12
"South Africa",2005m1,2019m12,2005m1,2019m12
"South Korea",1998m1,2019m12,1998m1,2019m12
"Spain",1998m1,2019m12,1998m1,2019m12
"Sweden",1998m1,2019m12,1998m1,2019m12
"Switzerland",1998m6,2019m12,1998m6,2019m12
"Thailand",1998m1,2019m12,1998m1,2019m12
"Turkey",2002m1,2019m12,2003m1,2019m12
"United Kingdom",1998m1,2019m12,1998m1,2019m12
"United States",1998m1,2019m12,1998m1,2019m12
"Venezuela",1998m2,2017m12,1999m6,2012m12
