n,country,fdCpiCurrent,ldCpiCurrent,fdGdpCurrent,ldGdpCurrent,nb,countryb,fdCpiCurrentb,ldCpiCurrentb,fdGdpCurrentb,ldGdpCurrentb
1,"Argentina",1998m2,2013m12,1998m2,2019m12,27,"Malaysia",1998m1,2019m12,1998m1,2019m12
2,"Austria",2005m1,2019m12,2005m1,2019m12,28,"Mexico",1998m2,2019m12,1998m2,2019m12
3,"Belgium",2005m1,2019m12,2005m1,2019m12,29,"Netherlands",1998m1,2019m12,1998m1,2019m12
4,"Brazil",1998m2,2019m12,1998m2,2019m12,30,"New Zealand",1998m1,2019m12,1998m1,2019m12
5,"Bulgaria",2007m5,2019m12,2007m5,2019m12,31,"Nigeria",2005m1,2019m12,2005m1,2019m12
6,"Canada",1998m1,2019m12,1998m1,2019m12,32,"Norway",1998m6,2019m12,1998m6,2019m12
7,"Chile",1998m2,2019m12,1998m2,2019m12,33,"Peru",1998m2,2019m12,1998m2,2019m12
8,"China",1998m1,2019m12,1998m1,2019m12,34,"Philippines",1998m1,2019m12,1998m1,2019m12
9,"Colombia",1998m2,2019m12,1998m2,2019m12,35,"Poland",2002m1,2019m12,2002m1,2019m12
10,"Croatia",2007m5,2019m12,2007m5,2019m12,36,"Portugal",2005m1,2019m12,2005m1,2019m12
11,"Czech Republic",2002m1,2019m12,2002m1,2019m12,37,"Romania",2002m9,2019m12,2002m1,2019m12
12,"Denmark",2005m1,2019m12,2005m1,2019m12,38,"Russia",2002m1,2019m12,2002m1,2019m12
13,"Estonia",2007m5,2019m12,2007m5,2019m12,39,"Saudi Arabia",2005m1,2019m12,2005m1,2019m12
14,"Finland",2005m1,2019m12,2005m1,2019m12,40,"Slovakia",2002m1,2019m12,2002m1,2019m12
15,"France",1998m1,2019m12,1998m1,2019m12,41,"Slovenia",2007m5,2019m12,2007m5,2019m12
16,"Germany",1998m1,2019m12,1998m1,2019m12,42,"South Africa",2005m1,2019m12,2005m1,2019m12
17,"Greece",2005m1,2019m12,2005m1,2019m12,43,"South Korea",1998m1,2019m12,1998m1,2019m12
18,"Hungary",2002m1,2019m12,2002m1,2019m12,44,"Spain",1998m1,2019m12,1998m1,2019m12
19,"India",1998m1,2019m12,1998m1,2019m12,45,"Sweden",1998m1,2019m12,1998m1,2019m12
20,"Indonesia",1999m1,2019m12,1998m1,2019m12,46,"Switzerland",1998m6,2019m12,1998m6,2019m12
21,"Ireland",2005m1,2019m12,2005m1,2019m12,47,"Thailand",1998m1,2019m12,1998m1,2019m12
22,"Israel",2005m1,2019m12,2005m1,2019m12,48,"Turkey",2003m1,2019m12,2002m1,2019m12
23,"Italy",1998m1,2019m12,1998m1,2019m12,49,"United Kingdom",1998m1,2019m12,1998m1,2019m12
24,"Japan",1998m1,2019m12,1998m1,2019m12,50,"United States",1998m1,2019m12,1998m1,2019m12
25,"Latvia",2007m5,2019m12,2007m5,2019m12,51,"Venezuela",1999m6,2012m12,1998m2,2017m12
26,"Lithuania",2007m5,2019m12,2007m5,2019m12,,"",,,,
